Omega_RF_MHz,resolved,number_of_peaks,delta_left_MHz,delta_right_MHz,separation_MHz,valley_position_MHz,reason
0.0000,False,1,nan,nan,nan,nan,single_peak
0.1250,False,1,nan,nan,nan,nan,single_peak
0.2500,False,1,nan,nan,nan,nan,single_peak
0.3750,False,1,nan,nan,nan,nan,single_peak
0.5000,False,1,nan,nan,nan,nan,single_peak
0.6250,False,1,nan,nan,nan,nan,single_peak
0.7500,False,1,nan,nan,nan,nan,single_peak
0.8750,False,1,nan,nan,nan,nan,single_peak
1.0000,False,1,nan,nan,nan,nan,single_peak
1.1250,False,1,nan,nan,nan,nan,single_peak
1.2500,False,1,nan,nan,nan,nan,single_peak
1.3750,False,2,nan,nan,0.6000,0.0000,below_threshold
1.5000,False,2,nan,nan,1.0000,0.0000,below_threshold
1.6250,False,2,nan,nan,1.2000,0.0000,below_threshold
1.7500,False,2,nan,nan,1.4000,0.0000,below_threshold
1.8750,False,2,nan,nan,1.6000,0.0000,below_threshold
2.0000,False,2,nan,nan,1.8000,0.0000,below_threshold
2.1250,False,2,nan,nan,2.0000,0.0000,below_threshold
2.2500,False,2,nan,nan,2.0000,0.0000,below_threshold
2.3750,False,2,nan,nan,2.2000,0.0000,below_threshold
2.5000,False,2,nan,nan,2.4000,0.0000,below_threshold
2.6250,False,2,nan,nan,2.4000,0.0000,below_threshold
2.7500,False,2,nan,nan,2.6000,0.0000,below_threshold
2.8750,False,2,nan,nan,2.8000,0.0000,below_threshold
3.0000,False,2,nan,nan,3.0000,0.0000,below_threshold
3.1250,False,2,nan,nan,3.0000,0.0000,below_threshold
3.2500,False,2,nan,nan,3.2000,0.0000,below_threshold
3.3750,False,2,nan,nan,3.4000,0.0000,below_threshold
3.5000,False,2,nan,nan,3.4000,0.0000,below_threshold
3.6250,False,2,nan,nan,3.6000,0.0000,below_threshold
3.7500,False,2,nan,nan,3.8000,0.0000,below_threshold
3.8750,False,2,nan,nan,3.8000,0.0000,below_threshold
4.0000,False,2,nan,nan,4.0000,0.0000,below_threshold
4.1250,False,2,nan,nan,4.0000,0.0000,below_threshold
4.2500,False,2,nan,nan,4.2000,0.0000,below_threshold
4.3750,False,2,nan,nan,4.4000,0.0000,below_threshold
4.5000,False,2,nan,nan,4.4000,0.0000,below_threshold
4.6250,False,2,nan,nan,4.6000,0.0000,below_threshold
4.7500,False,2,nan,nan,4.8000,0.0000,below_threshold
4.8750,False,2,nan,nan,4.8000,0.0000,below_threshold
