Omega_RF_MHz,n_peaks,left_MHz,right_MHz,separation_MHz,valley_position_MHz,valley_height_uW,contrast,separation_over_measured_HWHM
0.0000,1,,,,,,,
0.1250,1,,,,,,,
0.2500,1,,,,,,,
0.3750,1,,,,,,,
0.5000,1,,,,,,,
0.6250,1,,,,,,,
0.7500,1,,,,,,,
0.8750,1,,,,,,,
1.0000,1,,,,,,,
1.1250,1,,,,,,,
1.2500,1,,,,,,,
1.3750,2,-0.3000,0.3000,0.6000,0.0000,37.9034,0.0003,0.2410
1.5000,2,-0.5000,0.5000,1.0000,0.0000,37.8318,0.0018,0.4016
1.6250,2,-0.6000,0.6000,1.2000,0.0000,37.7550,0.0046,0.4819
1.7500,2,-0.7000,0.7000,1.4000,0.0000,37.6732,0.0084,0.5622
1.8750,2,-0.8000,0.8000,1.6000,0.0000,37.5867,0.0132,0.6426
2.0000,2,-0.9000,0.9000,1.8000,0.0000,37.4956,0.0189,0.7229
2.1250,2,-1.0000,1.0000,2.0000,0.0000,37.4004,0.0254,0.8032
2.2500,2,-1.0000,1.0000,2.0000,0.0000,37.3011,0.0329,0.8032
2.3750,2,-1.1000,1.1000,2.2000,0.0000,37.1982,0.0410,0.8835
2.5000,2,-1.2000,1.2000,2.4000,0.0000,37.0918,0.0496,0.9639
2.6250,2,-1.2000,1.2000,2.4000,0.0000,36.9822,0.0586,0.9639
2.7500,2,-1.3000,1.3000,2.6000,0.0000,36.8697,0.0686,1.0442
2.8750,2,-1.4000,1.4000,2.8000,0.0000,36.7546,0.0788,1.1245
3.0000,2,-1.5000,1.5000,3.0000,0.0000,36.6371,0.0893,1.2048
3.1250,2,-1.5000,1.5000,3.0000,0.0000,36.5174,0.1004,1.2048
3.2500,2,-1.6000,1.6000,3.2000,0.0000,36.3958,0.1118,1.2851
3.3750,2,-1.7000,1.7000,3.4000,0.0000,36.2726,0.1233,1.3655
3.5000,2,-1.7000,1.7000,3.4000,0.0000,36.1479,0.1353,1.3655
3.6250,2,-1.8000,1.8000,3.6000,0.0000,36.0221,0.1475,1.4458
3.7500,2,-1.9000,1.9000,3.8000,0.0000,35.8953,0.1596,1.5261
3.8750,2,-1.9000,1.9000,3.8000,0.0000,35.7678,0.1722,1.5261
4.0000,2,-2.0000,2.0000,4.0000,0.0000,35.6397,0.1848,1.6064
4.1250,2,-2.0000,2.0000,4.0000,0.0000,35.5113,0.1973,1.6064
4.2500,2,-2.1000,2.1000,4.2000,0.0000,35.3826,0.2102,1.6867
4.3750,2,-2.2000,2.2000,4.4000,0.0000,35.2540,0.2230,1.7671
4.5000,2,-2.2000,2.2000,4.4000,0.0000,35.1255,0.2357,1.7671
4.6250,2,-2.3000,2.3000,4.6000,0.0000,34.9974,0.2487,1.8474
4.7500,2,-2.4000,2.4000,4.8000,0.0000,34.8697,0.2615,1.9277
4.8750,2,-2.4000,2.4000,4.8000,0.0000,34.7425,0.2743,1.9277
5.0000,2,-2.5000,2.5000,5.0000,0.0000,34.6161,0.2871,2.0080
5.1250,2,-2.6000,2.6000,5.2000,0.0000,34.4906,0.2997,2.0884
5.2500,2,-2.6000,2.6000,5.2000,0.0000,34.3660,0.3124,2.0884
5.3750,2,-2.7000,2.7000,5.4000,0.0000,34.2424,0.3250,2.1687
5.5000,2,-2.7000,2.7000,5.4000,0.0000,34.1199,0.3373,2.1687
5.6250,2,-2.8000,2.8000,5.6000,0.0000,33.9987,0.3498,2.2490
5.7500,2,-2.9000,2.9000,5.8000,0.0000,33.8787,0.3620,2.3293
5.8750,2,-2.9000,2.9000,5.8000,0.0000,33.7601,0.3740,2.3293
6.0000,2,-3.0000,3.0000,6.0000,0.0000,33.6429,0.3861,2.4096
6.1250,2,-3.1000,3.1000,6.2000,0.0000,33.5271,0.3978,2.4900
6.2500,2,-3.1000,3.1000,6.2000,0.0000,33.4129,0.4096,2.4900
6.3750,2,-3.2000,3.2000,6.4000,0.0000,33.3002,0.4212,2.5703
6.5000,2,-3.3000,3.3000,6.6000,0.0000,33.1891,0.4324,2.6506
6.6250,2,-3.3000,3.3000,6.6000,0.0000,33.0797,0.4438,2.6506
6.7500,2,-3.4000,3.4000,6.8000,0.0000,32.9718,0.4548,2.7309
6.8750,2,-3.4000,3.4000,6.8000,0.0000,32.8657,0.4657,2.7309
7.0000,2,-3.5000,3.5000,7.0000,0.0000,32.7612,0.4765,2.8112
