omega_rf_mhz,delta_left_mhz,delta_right_mhz,separation_mhz,resolved,reason
0.0000,nan,nan,nan,False,single_peak
0.1250,nan,nan,nan,False,single_peak
0.2500,nan,nan,nan,False,single_peak
0.3750,nan,nan,nan,False,single_peak
0.5000,nan,nan,nan,False,single_peak
0.6250,nan,nan,nan,False,single_peak
0.7500,nan,nan,nan,False,single_peak
0.8750,nan,nan,nan,False,single_peak
1.0000,nan,nan,nan,False,single_peak
1.1250,nan,nan,nan,False,single_peak
1.2500,nan,nan,nan,False,single_peak
1.3750,nan,nan,0.4000,False,below_linewidth_criterion
1.5000,nan,nan,0.8000,False,below_linewidth_criterion
1.6250,nan,nan,1.2000,False,below_linewidth_criterion
1.7500,nan,nan,1.2000,False,below_linewidth_criterion
1.8750,nan,nan,1.6000,False,below_linewidth_criterion
2.0000,nan,nan,1.6000,False,below_linewidth_criterion
2.1250,nan,nan,2.0000,False,below_linewidth_criterion
2.2500,nan,nan,2.0000,False,below_linewidth_criterion
2.3750,nan,nan,2.4000,False,below_linewidth_criterion
2.5000,nan,nan,2.4000,False,below_linewidth_criterion
2.6250,nan,nan,2.4000,False,below_linewidth_criterion
2.7500,nan,nan,2.8000,False,below_linewidth_criterion
2.8750,nan,nan,2.8000,False,below_linewidth_criterion
3.0000,nan,nan,2.8000,False,below_linewidth_criterion
3.1250,nan,nan,3.2000,False,below_linewidth_criterion
3.2500,nan,nan,3.2000,False,below_linewidth_criterion
3.3750,nan,nan,3.2000,False,below_linewidth_criterion
3.5000,nan,nan,3.6000,False,below_linewidth_criterion
3.6250,nan,nan,3.6000,False,below_linewidth_criterion
3.7500,nan,nan,3.6000,False,below_linewidth_criterion
3.8750,nan,nan,4.0000,False,below_linewidth_criterion
4.0000,nan,nan,4.0000,False,below_linewidth_criterion
4.1250,nan,nan,4.0000,False,below_linewidth_criterion
4.2500,nan,nan,4.4000,False,below_linewidth_criterion
4.3750,nan,nan,4.4000,False,below_linewidth_criterion
4.5000,nan,nan,4.4000,False,below_linewidth_criterion
4.6250,nan,nan,4.8000,False,below_linewidth_criterion
4.7500,nan,nan,4.8000,False,below_linewidth_criterion
4.8750,nan,nan,4.8000,False,below_linewidth_criterion
5.0000,nan,nan,4.8000,False,below_linewidth_criterion
5.1250,nan,nan,5.2000,False,below_linewidth_criterion
5.2500,nan,nan,5.2000,False,below_linewidth_criterion
5.3750,nan,nan,5.2000,False,below_linewidth_criterion
5.5000,-2.8000,2.8000,5.6000,True,resolved
5.6250,-2.8000,2.8000,5.6000,True,resolved
5.7500,-2.8000,2.8000,5.6000,True,resolved
5.8750,-3.0000,3.0000,6.0000,True,resolved
6.0000,-3.0000,3.0000,6.0000,True,resolved
6.1250,-3.0000,3.0000,6.0000,True,resolved
6.2500,-3.2000,3.2000,6.4000,True,resolved
6.3750,-3.2000,3.2000,6.4000,True,resolved
6.5000,-3.2000,3.2000,6.4000,True,resolved
6.6250,-3.4000,3.4000,6.8000,True,resolved
6.7500,-3.4000,3.4000,6.8000,True,resolved
6.8750,-3.4000,3.4000,6.8000,True,resolved
7.0000,-3.6000,3.6000,7.2000,True,resolved
7.1250,-3.6000,3.6000,7.2000,True,resolved
7.2500,-3.6000,3.6000,7.2000,True,resolved
7.3750,-3.6000,3.6000,7.2000,True,resolved
7.5000,-3.8000,3.8000,7.6000,True,resolved
7.6250,-3.8000,3.8000,7.6000,True,resolved
7.7500,-3.8000,3.8000,7.6000,True,resolved
7.8750,-4.0000,4.0000,8.0000,True,resolved
8.0000,-4.0000,4.0000,8.0000,True,resolved
8.1250,-4.0000,4.0000,8.0000,True,resolved
8.2500,-4.2000,4.2000,8.4000,True,resolved
8.3750,-4.2000,4.2000,8.4000,True,resolved
8.5000,-4.2000,4.2000,8.4000,True,resolved
8.6250,-4.4000,4.4000,8.8000,True,resolved
8.7500,-4.4000,4.4000,8.8000,True,resolved
8.8750,-4.4000,4.4000,8.8000,True,resolved
9.0000,-4.6000,4.6000,9.2000,True,resolved
9.1250,-4.6000,4.6000,9.2000,True,resolved
9.2500,-4.6000,4.6000,9.2000,True,resolved
9.3750,-4.6000,4.6000,9.2000,True,resolved
9.5000,-4.8000,4.8000,9.6000,True,resolved
9.6250,-4.8000,4.8000,9.6000,True,resolved
9.7500,-4.8000,4.8000,9.6000,True,resolved
9.8750,-5.0000,5.0000,10.0000,True,resolved
10.0000,-5.0000,5.0000,10.0000,True,resolved
10.1250,-5.0000,5.0000,10.0000,True,resolved
10.2500,-5.2000,5.2000,10.4000,True,resolved
10.3750,-5.2000,5.2000,10.4000,True,resolved
10.5000,-5.2000,5.2000,10.4000,True,resolved
10.6250,-5.4000,5.4000,10.8000,True,resolved
10.7500,-5.4000,5.4000,10.8000,True,resolved
10.8750,-5.4000,5.4000,10.8000,True,resolved
11.0000,-5.6000,5.6000,11.2000,True,resolved
11.1250,-5.6000,5.6000,11.2000,True,resolved
11.2500,-5.6000,5.6000,11.2000,True,resolved
11.3750,-5.6000,5.6000,11.2000,True,resolved
11.5000,-5.8000,5.8000,11.6000,True,resolved
11.6250,-5.8000,5.8000,11.6000,True,resolved
11.7500,-5.8000,5.8000,11.6000,True,resolved
11.8750,-6.0000,6.0000,12.0000,True,resolved
12.0000,-6.0000,6.0000,12.0000,True,resolved
12.1250,-6.0000,6.0000,12.0000,True,resolved
12.2500,-6.2000,6.2000,12.4000,True,resolved
12.3750,-6.2000,6.2000,12.4000,True,resolved
12.5000,-6.2000,6.2000,12.4000,True,resolved
12.6250,-6.4000,6.4000,12.8000,True,resolved
12.7500,-6.4000,6.4000,12.8000,True,resolved
12.8750,-6.4000,6.4000,12.8000,True,resolved
13.0000,-6.6000,6.6000,13.2000,True,resolved
13.1250,-6.6000,6.6000,13.2000,True,resolved
13.2500,-6.6000,6.6000,13.2000,True,resolved
13.3750,-6.6000,6.6000,13.2000,True,resolved
13.5000,-6.8000,6.8000,13.6000,True,resolved
13.6250,-6.8000,6.8000,13.6000,True,resolved
13.7500,-6.8000,6.8000,13.6000,True,resolved
13.8750,-7.0000,7.0000,14.0000,True,resolved
14.0000,-7.0000,7.0000,14.0000,True,resolved
14.1250,-7.0000,7.0000,14.0000,True,resolved
14.2500,-7.2000,7.2000,14.4000,True,resolved
14.3750,-7.2000,7.2000,14.4000,True,resolved
14.5000,-7.2000,7.2000,14.4000,True,resolved
14.6250,-7.4000,7.4000,14.8000,True,resolved
14.7500,-7.4000,7.4000,14.8000,True,resolved
14.8750,-7.4000,7.4000,14.8000,True,resolved
15.0000,-7.6000,7.6000,15.2000,True,resolved
15.1250,-7.6000,7.6000,15.2000,True,resolved
15.2500,-7.6000,7.6000,15.2000,True,resolved
15.3750,-7.6000,7.6000,15.2000,True,resolved
15.5000,-7.8000,7.8000,15.6000,True,resolved
15.6250,-7.8000,7.8000,15.6000,True,resolved
15.7500,-7.8000,7.8000,15.6000,True,resolved
15.8750,-8.0000,8.0000,16.0000,True,resolved
16.0000,-8.0000,8.0000,16.0000,True,resolved
16.1250,-8.0000,8.0000,16.0000,True,resolved
16.2500,-8.2000,8.2000,16.4000,True,resolved
16.3750,-8.2000,8.2000,16.4000,True,resolved
16.5000,-8.2000,8.2000,16.4000,True,resolved
16.6250,-8.4000,8.4000,16.8000,True,resolved
16.7500,-8.4000,8.4000,16.8000,True,resolved
16.8750,-8.4000,8.4000,16.8000,True,resolved
17.0000,-8.6000,8.6000,17.2000,True,resolved
17.1250,-8.6000,8.6000,17.2000,True,resolved
17.2500,-8.6000,8.6000,17.2000,True,resolved
17.3750,-8.6000,8.6000,17.2000,True,resolved
17.5000,-8.8000,8.8000,17.6000,True,resolved
17.6250,-8.8000,8.8000,17.6000,True,resolved
17.7500,-8.8000,8.8000,17.6000,True,resolved
17.8750,-9.0000,9.0000,18.0000,True,resolved
18.0000,-9.0000,9.0000,18.0000,True,resolved
18.1250,-9.0000,9.0000,18.0000,True,resolved
18.2500,-9.2000,9.2000,18.4000,True,resolved
18.3750,-9.2000,9.2000,18.4000,True,resolved
18.5000,-9.2000,9.2000,18.4000,True,resolved
18.6250,-9.4000,9.4000,18.8000,True,resolved
18.7500,-9.4000,9.4000,18.8000,True,resolved
18.8750,-9.4000,9.4000,18.8000,True,resolved
19.0000,-9.6000,9.6000,19.2000,True,resolved
19.1250,-9.6000,9.6000,19.2000,True,resolved
19.2500,-9.6000,9.6000,19.2000,True,resolved
19.3750,-9.6000,9.6000,19.2000,True,resolved
19.5000,-9.8000,9.8000,19.6000,True,resolved
19.6250,-9.8000,9.8000,19.6000,True,resolved
19.7500,-9.8000,9.8000,19.6000,True,resolved
19.8750,nan,nan,nan,False,single_peak
20.0000,nan,nan,nan,False,single_peak
