# METADATA
Omega_LO_opt_Eq58_MHz,2.957564
Omega_LO_operating_MHz,4.230000
linear_range_lower_MHz,1.034403
linear_range_upper_MHz,7.362704
linear_fit_slope_W_per_MHz,-1.053982e-06
linear_fit_intercept_W,4.014310e-05
linear_fit_R2,0.998178
linear_fit_resid_rms_W,8.317237e-08
n_qutip_solves,163

"# FIG.5(a): Omega_total_MHz, Pout_uW, linear_fit_Pout_uW, in_linear_range"
Omega_total_MHz,Pout_uW,linear_fit_Pout_uW,in_linear_range
0.0500,39.075424,,False
0.1203,39.072244,,False
0.1906,39.066443,,False
0.2609,39.058028,,False
0.3313,39.047010,,False
0.4016,39.033403,,False
0.4719,39.017225,,False
0.5422,38.998498,,False
0.6125,38.977244,,False
0.6828,38.953492,,False
0.7531,38.927271,,False
0.8235,38.898614,,False
0.8938,38.867558,,False
0.9641,38.834141,,False
1.0344,38.798405,39.05285512246106,True
1.1047,38.760393,38.97874497209289,True
1.1750,38.720151,38.90463482172472,True
1.2453,38.677728,38.83052467135656,True
1.3157,38.633174,38.756414520988386,True
1.3860,38.586541,38.682304370620216,True
1.4563,38.537884,38.608194220252045,True
1.5266,38.487259,38.534084069883875,True
1.5969,38.434722,38.459973919515704,True
1.6672,38.380332,38.38586376914754,True
1.7375,38.324149,38.31175361877937,True
1.8079,38.266234,38.2376434684112,True
1.8782,38.206649,38.16353331804303,True
1.9485,38.145456,38.08942316767486,True
2.0188,38.082719,38.01531301730669,True
2.0891,38.018500,37.941202866938525,True
2.1594,37.952864,37.867092716570355,True
2.2297,37.885875,37.792982566202184,True
2.3001,37.817597,37.718872415834014,True
2.3704,37.748095,37.64476226546584,True
2.4407,37.677432,37.57065211509767,True
2.5110,37.605671,37.49654196472951,True
2.5813,37.532876,37.42243181436134,True
2.6516,37.459110,37.34832166399317,True
2.7219,37.384435,37.274211513625,True
2.7923,37.308912,37.20010136325683,True
2.8626,37.232602,37.12599121288866,True
2.9329,37.155564,37.05188106252049,True
3.0032,37.077857,36.97777091215232,True
3.0735,36.999538,36.90366076178415,True
3.1438,36.920666,36.82955061141598,True
3.2142,36.841293,36.75544046104781,True
3.2845,36.761476,36.68133031067964,True
3.3548,36.681267,36.60722016031148,True
3.4251,36.600717,36.53311000994331,True
3.4954,36.519877,36.45899985957514,True
3.5657,36.438796,36.384889709206966,True
3.6360,36.357521,36.310779558838796,True
3.7064,36.276099,36.23666940847063,True
3.7767,36.194575,36.16255925810246,True
3.8470,36.112990,36.08844910773429,True
3.9173,36.031389,36.01433895736612,True
3.9876,35.949810,35.94022880699795,True
4.0579,35.868292,35.86611865662978,True
4.1282,35.786874,35.79200850626162,True
4.1986,35.705591,35.717898355893446,True
4.2689,35.624478,35.643788205525276,True
4.3392,35.543567,35.569678055157105,True
4.4095,35.462891,35.495567904788935,True
4.4798,35.382480,35.421457754420764,True
4.5501,35.302363,35.3473476040526,True
4.6204,35.222567,35.27323745368443,True
4.6908,35.143118,35.19912730331626,True
4.7611,35.064042,35.12501715294809,True
4.8314,34.985363,35.05090700257992,True
4.9017,34.907102,34.97679685221175,True
4.9720,34.829280,34.902686701843585,True
