# METADATA
fig4_threshold_mhz,5.125000
fig5_Omega_LO_mhz,4.230000
fig5_linear_range_low_mhz,1.034403
fig5_linear_range_high_mhz,7.362704
Omega_RF_max_from_fig5_mhz,3.132704
kappa_W_per_rad_per_s,-1.677464e-13
P0_bar_W,3.566929e-05
A_LO,5.519570e-07
sigma_Ry_LO_sq,7.556606e-14
n_qutip_solves_this_script,350

distance_m,SNR_conventional_dB_PTx-10dBm,SNR_conventional_dB_PTx10dBm,SNR_theoretical_LO_dressed_dB_PTx-10dBm,SNR_theoretical_LO_dressed_dB_PTx10dBm,SNR_practical_LO_dressed_dB_PTx-10dBm,SNR_practical_LO_dressed_dB_PTx10dBm,practical_in_linear_region_PTx-10dBm,practical_in_linear_region_PTx10dBm,SNR_LO_free_dB_PTx10dBm,SNR_LO_free_dB_PTx20dBm,LO_free_resolved_PTx10dBm,LO_free_resolved_PTx20dBm,Omega_RF_MHz_PTx-10dBm,Omega_RF_MHz_PTx10dBm
0.100000,36.6707,56.6707,65.5571,85.5571,45.8588,,False,False,46.0206,46.0206,True,True,12.715619,127.156186
0.105925,36.1707,56.1707,65.0571,85.0571,46.8744,,False,False,46.0206,46.0206,True,True,12.004318,120.043180
0.112202,35.6707,55.6707,64.5571,84.5571,47.8351,,False,False,46.0206,46.0206,True,True,11.332807,113.328070
0.118850,35.1707,55.1707,64.0571,84.0571,48.7367,,False,False,46.0206,46.0206,True,True,10.698860,106.988597
0.125893,34.6707,54.6707,63.5571,83.5571,49.5750,,False,False,46.0206,46.0206,True,True,10.100375,101.003749
0.133352,34.1707,54.1707,63.0571,83.0571,50.3464,,False,False,46.0206,46.0206,True,True,9.535369,95.353688
0.141254,33.6707,53.6707,62.5571,82.5571,51.0478,,False,False,46.0206,46.0206,True,True,9.001969,90.019686
0.149624,33.1707,53.1707,62.0571,82.0571,51.6767,,False,False,46.0206,46.0206,True,True,8.498406,84.984063
0.158489,32.6707,52.6707,61.5571,81.5571,52.2316,,False,False,46.0206,46.0206,True,True,8.023013,80.230129
0.167880,32.1707,52.1707,61.0571,81.0571,52.7119,,False,False,46.0206,46.0206,True,True,7.574213,75.742126
0.177828,31.6707,51.6707,60.5571,80.5571,53.1179,,False,False,46.0206,46.0206,True,True,7.150518,71.505178
0.188365,31.1707,51.1707,60.0571,80.0571,53.4508,,False,False,46.0206,46.0206,True,True,6.750524,67.505241
0.199526,30.6707,50.6707,59.5571,79.5571,53.7127,,False,False,46.0206,46.0206,True,True,6.372906,63.729057
0.211349,30.1707,50.1707,59.0571,79.0571,53.9065,,False,False,46.0206,46.0206,True,True,6.016411,60.164109
0.223872,29.6707,49.6707,58.5571,78.5571,54.0358,,False,False,46.0206,46.0206,True,True,5.679858,56.798582
0.237137,29.1707,49.1707,58.0571,78.0571,54.1042,,False,False,46.0206,46.0206,True,True,5.362132,53.621319
0.251189,28.6707,48.6707,57.5571,77.5571,54.1162,,False,False,46.0206,46.0206,True,True,5.062179,50.621789
0.266073,28.1707,48.1707,57.0571,77.0571,54.0760,,False,False,46.0206,46.0206,True,True,4.779005,47.790051
0.281838,27.6707,47.6707,56.5571,76.5571,53.9879,,False,False,46.0206,46.0206,True,True,4.511672,45.116717
0.298538,27.1707,47.1707,56.0571,76.0571,,,False,False,46.0206,46.0206,True,True,4.259293,42.592928
0.316228,26.6707,46.6707,55.5571,75.5571,53.6851,,False,False,46.0206,46.0206,True,True,4.021032,40.210317
