distance_m,SNR_formula_dB_10dBm,SNR_formula_dB_20dBm,SNR_qutip_measured_dB_10dBm,SNR_qutip_measured_dB_20dBm,Omega_RF_theoretical_MHz_10dBm,Omega_RF_measured_MHz_10dBm,Omega_RF_theoretical_MHz_20dBm,Omega_RF_measured_MHz_20dBm
0.100000,46.0206,46.0206,,,127.1562,,402.1032,
0.105925,46.0206,46.0206,,,120.0432,,379.6099,
0.112202,46.0206,46.0206,,,113.3281,,358.3748,
0.118850,46.0206,46.0206,,,106.9886,,338.3277,
0.125893,46.0206,46.0206,,,101.0037,,319.4019,
0.133352,46.0206,46.0206,,,95.3537,,301.5348,
0.141254,46.0206,46.0206,,,90.0197,,284.6672,
0.149624,46.0206,46.0206,,,84.9841,,268.7432,
0.158489,46.0206,46.0206,,,80.2301,,253.7099,
0.167880,46.0206,46.0206,,,75.7421,,239.5176,
0.177828,46.0206,46.0206,,,71.5052,,226.1192,
0.188365,46.0206,46.0206,,,67.5052,,213.4703,
0.199526,46.0206,46.0206,,,63.7291,,201.5290,
0.211349,46.0206,46.0206,,,60.1641,,190.2556,
0.223872,46.0206,46.0206,,,56.7986,,179.6129,
0.237137,46.0206,46.0206,,,53.6213,,169.5655,
0.251189,46.0206,46.0206,,,50.6218,,160.0802,
0.266073,46.0206,46.0206,,,47.7901,,151.1254,
0.281838,46.0206,46.0206,,,45.1167,,142.6716,
0.298538,46.0206,46.0206,,,42.5929,,134.6907,
0.316228,46.0206,46.0206,,,40.2103,,127.1562,
0.334965,46.0206,46.0206,,,37.9610,,120.0432,
0.354813,46.0206,46.0206,,,35.8375,,113.3281,
0.375837,46.0206,46.0206,,,33.8328,,106.9886,
0.398107,46.0206,46.0206,,,31.9402,,101.0037,
0.421697,46.0206,46.0206,,,30.1535,,95.3537,
0.446684,46.0206,46.0206,,,28.4667,,90.0197,
0.473151,46.0206,46.0206,,,26.8743,,84.9841,
0.501187,46.0206,46.0206,,,25.3710,,80.2301,
0.530884,46.0206,46.0206,,,23.9518,,75.7421,
0.562341,46.0206,46.0206,,,22.6119,,71.5052,
0.595662,46.0206,46.0206,,,21.3470,,67.5052,
0.630957,46.0206,46.0206,,,20.1529,,63.7291,
0.668344,46.0206,46.0206,46.0206,,19.0256,19.2000,60.1641,
0.707946,46.0206,46.0206,46.0206,,17.9613,18.0000,56.7986,
0.749894,46.0206,46.0206,46.0206,,16.9565,17.0610,53.6213,
0.794328,46.0206,46.0206,46.0206,,16.0080,16.0000,50.6218,
0.841395,46.0206,46.0206,46.0206,,15.1125,15.2000,47.7901,
0.891251,46.0206,46.0206,46.0206,,14.2672,14.4000,45.1167,
0.944061,46.0206,46.0206,46.0206,,13.4691,13.5010,42.5929,
1.000000,46.0206,46.0206,46.0206,,12.7156,12.8000,40.2103,
1.059254,46.0206,46.0206,46.0206,,12.0043,12.0000,37.9610,
1.122018,46.0206,46.0206,46.0206,,11.3328,11.2000,35.8375,
1.188502,46.0206,46.0206,46.0206,,10.6989,10.8000,33.8328,
1.258925,46.0206,46.0206,46.0206,,10.1004,10.0000,31.9402,
1.333521,46.0206,46.0206,46.0206,,9.5354,9.6000,30.1535,
1.412538,46.0206,46.0206,46.0206,,9.0020,9.2000,28.4667,
1.496236,46.0206,46.0206,46.0206,,8.4984,8.4000,26.8743,
1.584893,46.0206,46.0206,46.0206,,8.0230,8.0000,25.3710,
1.678804,46.0206,46.0206,46.0206,,7.5742,7.6000,23.9518,
1.778279,46.0206,46.0206,46.0206,,7.1505,7.2000,22.6119,
1.883649,46.0206,46.0206,46.0206,,6.7505,6.8000,21.3470,
1.995262,46.0206,46.0206,46.0206,,6.3729,6.4000,20.1529,
2.113489,46.0206,46.0206,46.0206,46.0206,6.0164,6.0000,19.0256,19.2000
2.238721,46.0206,46.0206,46.0206,46.0206,5.6799,5.6000,17.9613,18.0000
2.371374,46.0206,46.0206,46.0206,46.0206,5.3621,5.2000,16.9565,17.0610
2.511886,,46.0206,,46.0206,5.0622,,16.0080,16.0000
2.660725,,46.0206,,46.0206,4.7790,,15.1125,15.2000
2.818383,,46.0206,,46.0206,4.5117,,14.2672,14.4000
2.985383,,46.0206,,46.0206,4.2593,,13.4691,13.5010
3.162278,,46.0206,,46.0206,4.0210,,12.7156,12.8000
3.349654,,46.0206,,46.0206,3.7961,,12.0043,12.0000
3.548134,,46.0206,,46.0206,3.5837,,11.3328,11.2000
3.758374,,46.0206,,46.0206,3.3833,,10.6989,10.8000
3.981072,,46.0206,,46.0206,3.1940,,10.1004,10.0000
4.216965,,46.0206,,46.0206,3.0153,,9.5354,9.6000
4.466836,,46.0206,,46.0206,2.8467,,9.0020,9.2000
4.731513,,46.0206,,46.0206,2.6874,,8.4984,8.4000
5.011872,,46.0206,,46.0206,2.5371,,8.0230,8.0000
5.308844,,46.0206,,46.0206,2.3952,,7.5742,7.6000
5.623413,,46.0206,,46.0206,2.2612,,7.1505,7.2000
5.956621,,46.0206,,46.0206,2.1347,,6.7505,6.8000
6.309573,,46.0206,,46.0206,2.0153,,6.3729,6.4000
6.683439,,46.0206,,46.0206,1.9026,,6.0164,6.0000
7.079458,,46.0206,,46.0206,1.7961,,5.6799,5.6000
7.498942,,46.0206,,46.0206,1.6957,,5.3621,5.2000
7.943282,,,,,1.6008,,5.0622,
8.413951,,,,,1.5113,,4.7790,
8.912509,,,,,1.4267,,4.5117,
9.440609,,,,,1.3469,,4.2593,
10.000000,,,,,1.2716,,4.0210,
10.592537,,,,,1.2004,,3.7961,
11.220185,,,,,1.1333,,3.5837,
11.885022,,,,,1.0699,,3.3833,
12.589254,,,,,1.0100,,3.1940,
13.335214,,,,,0.9535,,3.0153,
14.125375,,,,,0.9002,,2.8467,
14.962357,,,,,0.8498,,2.6874,
15.848932,,,,,0.8023,,2.5371,
16.788040,,,,,0.7574,,2.3952,
17.782794,,,,,0.7151,,2.2612,
18.836491,,,,,0.6751,,2.1347,
19.952623,,,,,0.6373,,2.0153,
21.134890,,,,,0.6016,,1.9026,
22.387211,,,,,0.5680,,1.7961,
23.713737,,,,,0.5362,,1.6957,
25.118864,,,,,0.5062,,1.6008,
26.607251,,,,,0.4779,,1.5113,
28.183829,,,,,0.4512,,1.4267,
29.853826,,,,,0.4259,,1.3469,
31.622777,,,,,0.4021,,1.2716,
33.496544,,,,,0.3796,,1.2004,
35.481339,,,,,0.3584,,1.1333,
37.583740,,,,,0.3383,,1.0699,
39.810717,,,,,0.3194,,1.0100,
42.169650,,,,,0.3015,,0.9535,
44.668359,,,,,0.2847,,0.9002,
47.315126,,,,,0.2687,,0.8498,
50.118723,,,,,0.2537,,0.8023,
53.088444,,,,,0.2395,,0.7574,
56.234133,,,,,0.2261,,0.7151,
59.566214,,,,,0.2135,,0.6751,
63.095734,,,,,0.2015,,0.6373,
66.834392,,,,,0.1903,,0.6016,
70.794578,,,,,0.1796,,0.5680,
74.989421,,,,,0.1696,,0.5362,
79.432823,,,,,0.1601,,0.5062,
84.139514,,,,,0.1511,,0.4779,
