"# Panel (a) Conventional -- SNR_dB, then SER for log2M=2,4,6,8"
SNR_dB,SER_log2M2,SER_log2M4,SER_log2M6,SER_log2M8
-103.3293,7.499973e-01,9.374991e-01,9.843747e-01,9.960937e-01
-102.8293,7.499971e-01,9.374990e-01,9.843747e-01,9.960937e-01
-102.3293,7.499969e-01,9.374990e-01,9.843747e-01,9.960937e-01
-101.8293,7.499968e-01,9.374989e-01,9.843747e-01,9.960937e-01
-101.3293,7.499966e-01,9.374989e-01,9.843747e-01,9.960937e-01
-100.8293,7.499964e-01,9.374988e-01,9.843747e-01,9.960937e-01
-100.3293,7.499962e-01,9.374987e-01,9.843746e-01,9.960937e-01
-99.8293,7.499959e-01,9.374986e-01,9.843746e-01,9.960936e-01
-99.3293,7.499957e-01,9.374986e-01,9.843746e-01,9.960936e-01
-98.8293,7.499954e-01,9.374985e-01,9.843746e-01,9.960936e-01
-98.3293,7.499952e-01,9.374984e-01,9.843745e-01,9.960936e-01
-97.8293,7.499949e-01,9.374983e-01,9.843745e-01,9.960936e-01
-97.3293,7.499946e-01,9.374982e-01,9.843745e-01,9.960936e-01
-96.8293,7.499943e-01,9.374981e-01,9.843745e-01,9.960936e-01
-96.3293,7.499939e-01,9.374980e-01,9.843744e-01,9.960936e-01
-95.8293,7.499936e-01,9.374978e-01,9.843744e-01,9.960936e-01
-95.3293,7.499932e-01,9.374977e-01,9.843743e-01,9.960936e-01
-94.8293,7.499928e-01,9.374976e-01,9.843743e-01,9.960936e-01
-94.3293,7.499923e-01,9.374974e-01,9.843743e-01,9.960936e-01
-93.8293,7.499919e-01,9.374973e-01,9.843742e-01,9.960935e-01
-93.3293,7.499914e-01,9.374971e-01,9.843742e-01,9.960935e-01
-92.8293,7.499909e-01,9.374969e-01,9.843741e-01,9.960935e-01
-92.3293,7.499904e-01,9.374968e-01,9.843741e-01,9.960935e-01
-91.8293,7.499898e-01,9.374966e-01,9.843740e-01,9.960935e-01
-91.3293,7.499892e-01,9.374964e-01,9.843740e-01,9.960935e-01
-90.8293,7.499885e-01,9.374962e-01,9.843739e-01,9.960935e-01
-90.3293,7.499879e-01,9.374959e-01,9.843738e-01,9.960934e-01
-89.8293,7.499871e-01,9.374957e-01,9.843738e-01,9.960934e-01
-89.3293,7.499864e-01,9.374954e-01,9.843737e-01,9.960934e-01
-88.8293,7.499856e-01,9.374952e-01,9.843736e-01,9.960934e-01
-88.3293,7.499847e-01,9.374949e-01,9.843735e-01,9.960934e-01
-87.8293,7.499838e-01,9.374946e-01,9.843735e-01,9.960933e-01
-87.3293,7.499828e-01,9.374942e-01,9.843734e-01,9.960933e-01
-86.8293,7.499818e-01,9.374939e-01,9.843733e-01,9.960933e-01
-86.3293,7.499807e-01,9.374935e-01,9.843732e-01,9.960933e-01
-85.8293,7.499796e-01,9.374932e-01,9.843731e-01,9.960932e-01
-85.3293,7.499784e-01,9.374928e-01,9.843729e-01,9.960932e-01
-84.8293,7.499771e-01,9.374923e-01,9.843728e-01,9.960932e-01
-84.3293,7.499758e-01,9.374919e-01,9.843727e-01,9.960931e-01
-83.8293,7.499743e-01,9.374914e-01,9.843725e-01,9.960931e-01
-83.3293,7.499728e-01,9.374909e-01,9.843724e-01,9.960931e-01
-82.8293,7.499712e-01,9.374903e-01,9.843723e-01,9.960930e-01
-82.3293,7.499695e-01,9.374898e-01,9.843721e-01,9.960930e-01
-81.8293,7.499677e-01,9.374892e-01,9.843719e-01,9.960929e-01
-81.3293,7.499658e-01,9.374885e-01,9.843717e-01,9.960929e-01
-80.8293,7.499637e-01,9.374878e-01,9.843715e-01,9.960928e-01
-80.3293,7.499616e-01,9.374871e-01,9.843713e-01,9.960928e-01
-79.8293,7.499593e-01,9.374864e-01,9.843711e-01,9.960927e-01
-79.3293,7.499569e-01,9.374855e-01,9.843709e-01,9.960927e-01
-78.8293,7.499543e-01,9.374847e-01,9.843706e-01,9.960926e-01
-78.3293,7.499516e-01,9.374838e-01,9.843704e-01,9.960925e-01
-77.8293,7.499488e-01,9.374828e-01,9.843701e-01,9.960924e-01
-77.3293,7.499457e-01,9.374818e-01,9.843698e-01,9.960924e-01
-76.8293,7.499425e-01,9.374807e-01,9.843695e-01,9.960923e-01
-76.3293,7.499391e-01,9.374796e-01,9.843692e-01,9.960922e-01
-75.8293,7.499355e-01,9.374784e-01,9.843688e-01,9.960921e-01
-75.3293,7.499317e-01,9.374771e-01,9.843685e-01,9.960920e-01
-74.8293,7.499276e-01,9.374757e-01,9.843681e-01,9.960919e-01
-74.3293,7.499234e-01,9.374743e-01,9.843677e-01,9.960918e-01
-73.8293,7.499188e-01,9.374728e-01,9.843672e-01,9.960917e-01
-73.3293,7.499140e-01,9.374712e-01,9.843668e-01,9.960916e-01
-72.8293,7.499089e-01,9.374694e-01,9.843663e-01,9.960914e-01
-72.3293,7.499035e-01,9.374676e-01,9.843658e-01,9.960913e-01
-71.8293,7.498978e-01,9.374657e-01,9.843652e-01,9.960912e-01
-71.3293,7.498917e-01,9.374637e-01,9.843647e-01,9.960910e-01
-70.8293,7.498853e-01,9.374615e-01,9.843641e-01,9.960908e-01
-70.3293,7.498785e-01,9.374593e-01,9.843634e-01,9.960907e-01
-69.8293,7.498713e-01,9.374568e-01,9.843627e-01,9.960905e-01
-69.3293,7.498637e-01,9.374543e-01,9.843620e-01,9.960903e-01
-68.8293,7.498556e-01,9.374516e-01,9.843612e-01,9.960901e-01
-68.3293,7.498471e-01,9.374487e-01,9.843604e-01,9.960899e-01
-67.8293,7.498380e-01,9.374457e-01,9.843595e-01,9.960896e-01
