Omega_RF_MHz,resolved,delta_left_MHz,delta_right_MHz,separation_MHz,reason
0.0000,False,nan,nan,nan,single_peak
0.1250,False,nan,nan,nan,single_peak
0.2500,False,nan,nan,nan,single_peak
0.3750,False,nan,nan,nan,single_peak
0.5000,False,nan,nan,nan,single_peak
0.6250,False,nan,nan,nan,single_peak
0.7500,False,nan,nan,nan,single_peak
0.8750,False,nan,nan,nan,single_peak
1.0000,False,nan,nan,nan,single_peak
1.1250,False,nan,nan,nan,single_peak
1.2500,False,nan,nan,nan,single_peak
1.3750,False,nan,nan,0.4000,below_threshold
1.5000,False,nan,nan,0.8000,below_threshold
1.6250,False,nan,nan,1.2000,below_threshold
1.7500,False,nan,nan,1.2000,below_threshold
1.8750,False,nan,nan,1.6000,below_threshold
2.0000,False,nan,nan,1.6000,below_threshold
2.1250,False,nan,nan,2.0000,below_threshold
2.2500,False,nan,nan,2.0000,below_threshold
2.3750,False,nan,nan,2.4000,below_threshold
2.5000,False,nan,nan,2.4000,below_threshold
2.6250,False,nan,nan,2.4000,below_threshold
2.7500,False,nan,nan,2.8000,below_threshold
2.8750,False,nan,nan,2.8000,below_threshold
3.0000,False,nan,nan,2.8000,below_threshold
3.1250,False,nan,nan,3.2000,below_threshold
3.2500,False,nan,nan,3.2000,below_threshold
3.3750,False,nan,nan,3.2000,below_threshold
3.5000,False,nan,nan,3.6000,below_threshold
3.6250,False,nan,nan,3.6000,below_threshold
3.7500,False,nan,nan,3.6000,below_threshold
3.8750,False,nan,nan,4.0000,below_threshold
4.0000,False,nan,nan,4.0000,below_threshold
4.1250,False,nan,nan,4.0000,below_threshold
4.2500,False,nan,nan,4.4000,below_threshold
4.3750,False,nan,nan,4.4000,below_threshold
4.5000,False,nan,nan,4.4000,below_threshold
4.6250,False,nan,nan,4.8000,below_threshold
4.7500,False,nan,nan,4.8000,below_threshold
4.8750,False,nan,nan,4.8000,below_threshold
5.0000,False,nan,nan,4.8000,below_threshold
5.1250,False,nan,nan,5.2000,below_threshold
5.2500,False,nan,nan,5.2000,below_threshold
5.3750,False,nan,nan,5.2000,below_threshold
5.5000,True,-2.8000,2.8000,5.6000,resolved
5.6250,True,-2.8000,2.8000,5.6000,resolved
5.7500,True,-2.8000,2.8000,5.6000,resolved
5.8750,True,-3.0000,3.0000,6.0000,resolved
6.0000,True,-3.0000,3.0000,6.0000,resolved
6.1250,True,-3.0000,3.0000,6.0000,resolved
6.2500,True,-3.2000,3.2000,6.4000,resolved
6.3750,True,-3.2000,3.2000,6.4000,resolved
6.5000,True,-3.2000,3.2000,6.4000,resolved
6.6250,True,-3.4000,3.4000,6.8000,resolved
6.7500,True,-3.4000,3.4000,6.8000,resolved
6.8750,True,-3.4000,3.4000,6.8000,resolved
7.0000,True,-3.6000,3.6000,7.2000,resolved
7.1250,True,-3.6000,3.6000,7.2000,resolved
7.2500,True,-3.6000,3.6000,7.2000,resolved
7.3750,True,-3.6000,3.6000,7.2000,resolved
7.5000,True,-3.8000,3.8000,7.6000,resolved
7.6250,True,-3.8000,3.8000,7.6000,resolved
7.7500,True,-3.8000,3.8000,7.6000,resolved
7.8750,True,-4.0000,4.0000,8.0000,resolved
8.0000,True,-4.0000,4.0000,8.0000,resolved
8.1250,True,-4.0000,4.0000,8.0000,resolved
8.2500,True,-4.2000,4.2000,8.4000,resolved
8.3750,True,-4.2000,4.2000,8.4000,resolved
8.5000,True,-4.2000,4.2000,8.4000,resolved
8.6250,True,-4.4000,4.4000,8.8000,resolved
8.7500,True,-4.4000,4.4000,8.8000,resolved
8.8750,True,-4.4000,4.4000,8.8000,resolved
9.0000,True,-4.6000,4.6000,9.2000,resolved
9.1250,True,-4.6000,4.6000,9.2000,resolved
9.2500,True,-4.6000,4.6000,9.2000,resolved
9.3750,True,-4.6000,4.6000,9.2000,resolved
9.5000,True,-4.8000,4.8000,9.6000,resolved
9.6250,True,-4.8000,4.8000,9.6000,resolved
9.7500,True,-4.8000,4.8000,9.6000,resolved
9.8750,True,-5.0000,5.0000,10.0000,resolved
10.0000,True,-5.0000,5.0000,10.0000,resolved
10.1250,True,-5.0000,5.0000,10.0000,resolved
10.2500,True,-5.2000,5.2000,10.4000,resolved
10.3750,True,-5.2000,5.2000,10.4000,resolved
10.5000,True,-5.2000,5.2000,10.4000,resolved
10.6250,True,-5.4000,5.4000,10.8000,resolved
10.7500,True,-5.4000,5.4000,10.8000,resolved
10.8750,True,-5.4000,5.4000,10.8000,resolved
11.0000,True,-5.6000,5.6000,11.2000,resolved
11.1250,True,-5.6000,5.6000,11.2000,resolved
11.2500,True,-5.6000,5.6000,11.2000,resolved
11.3750,True,-5.6000,5.6000,11.2000,resolved
11.5000,True,-5.8000,5.8000,11.6000,resolved
11.6250,True,-5.8000,5.8000,11.6000,resolved
11.7500,True,-5.8000,5.8000,11.6000,resolved
11.8750,True,-6.0000,6.0000,12.0000,resolved
12.0000,True,-6.0000,6.0000,12.0000,resolved
12.1250,True,-6.0000,6.0000,12.0000,resolved
12.2500,True,-6.2000,6.2000,12.4000,resolved
12.3750,True,-6.2000,6.2000,12.4000,resolved
12.5000,True,-6.2000,6.2000,12.4000,resolved
12.6250,True,-6.4000,6.4000,12.8000,resolved
12.7500,True,-6.4000,6.4000,12.8000,resolved
12.8750,True,-6.4000,6.4000,12.8000,resolved
13.0000,True,-6.6000,6.6000,13.2000,resolved
13.1250,True,-6.6000,6.6000,13.2000,resolved
