Omega_RF_MHz,n_peaks_found,left_x_MHz,right_x_MHz
0.0000,1,0.0000,0.0000
0.1250,1,0.0000,0.0000
0.2500,1,0.0000,0.0000
0.3750,1,0.0000,0.0000
0.5000,1,0.0000,0.0000
0.6250,1,0.0000,0.0000
0.7500,1,0.0000,0.0000
0.8750,1,0.0000,0.0000
1.0000,1,0.0000,0.0000
1.1250,1,0.0000,0.0000
1.2500,1,0.0000,0.0000
1.3750,2,-0.2000,0.2000
1.5000,2,-0.4000,0.4000
1.6250,2,-0.6000,0.6000
1.7500,2,-0.6000,0.6000
1.8750,2,-0.8000,0.8000
2.0000,2,-0.8000,0.8000
2.1250,2,-1.0000,1.0000
2.2500,2,-1.0000,1.0000
2.3750,2,-1.2000,1.2000
2.5000,2,-1.2000,1.2000
2.6250,2,-1.2000,1.2000
2.7500,2,-1.4000,1.4000
2.8750,2,-1.4000,1.4000
3.0000,2,-1.4000,1.4000
3.1250,2,-1.6000,1.6000
3.2500,2,-1.6000,1.6000
3.3750,2,-1.6000,1.6000
3.5000,2,-1.8000,1.8000
3.6250,2,-1.8000,1.8000
3.7500,2,-1.8000,1.8000
3.8750,2,-2.0000,2.0000
4.0000,2,-2.0000,2.0000
4.1250,2,-2.0000,2.0000
4.2500,2,-2.2000,2.2000
4.3750,2,-2.2000,2.2000
4.5000,2,-2.2000,2.2000
4.6250,2,-2.4000,2.4000
4.7500,2,-2.4000,2.4000
4.8750,2,-2.4000,2.4000
5.0000,2,-2.4000,2.4000
5.1250,2,-2.6000,2.6000
5.2500,2,-2.6000,2.6000
5.3750,2,-2.6000,2.6000
5.5000,2,-2.8000,2.8000
5.6250,2,-2.8000,2.8000
5.7500,2,-2.8000,2.8000
5.8750,2,-3.0000,3.0000
6.0000,2,-3.0000,3.0000
6.1250,2,-3.0000,3.0000
6.2500,2,-3.2000,3.2000
6.3750,2,-3.2000,3.2000
6.5000,2,-3.2000,3.2000
6.6250,2,-3.4000,3.4000
6.7500,2,-3.4000,3.4000
6.8750,2,-3.4000,3.4000
7.0000,2,-3.6000,3.6000
7.1250,2,-3.6000,3.6000
7.2500,2,-3.6000,3.6000
7.3750,2,-3.6000,3.6000
7.5000,2,-3.8000,3.8000
7.6250,2,-3.8000,3.8000
7.7500,2,-3.8000,3.8000
7.8750,2,-4.0000,4.0000
8.0000,2,-4.0000,4.0000
8.1250,2,-4.0000,4.0000
8.2500,2,-4.2000,4.2000
8.3750,2,-4.2000,4.2000
8.5000,2,-4.2000,4.2000
8.6250,2,-4.4000,4.4000
8.7500,2,-4.4000,4.4000
8.8750,2,-4.4000,4.4000
9.0000,2,-4.6000,4.6000
9.1250,2,-4.6000,4.6000
9.2500,2,-4.6000,4.6000
