# METADATA
d_probe_mm,0.3600
fig4_threshold_mhz,5.125000
kappa_W_per_rad_per_s,-3.763838e-14
P0_bar_W,8.003359e-06
A_LO,2.778820e-08
sigma_Ry_LO_sq,2.937719e-14
checkpoint_gap_100m_-10dBm_dB,20.009166

distance_m,SNR_conventional_dB_-10dBm,SNR_conventional_dB_10dBm,SNR_theoretical_dB_-10dBm,SNR_theoretical_dB_10dBm,SNR_practical_dB_-10dBm,SNR_practical_dB_10dBm,SNR_LOfree_dB_10dBm,SNR_LOfree_dB_20dBm
0.100000,36.6707,56.6707,56.6798,76.6798,36.9815,,46.0206,46.0206
0.105925,36.1707,56.1707,56.1798,76.1798,37.9971,,46.0206,46.0206
0.112202,35.6707,55.6707,55.6798,75.6798,38.9578,,46.0206,46.0206
0.118850,35.1707,55.1707,55.1798,75.1798,39.8594,,46.0206,46.0206
0.125893,34.6707,54.6707,54.6798,74.6798,40.6977,,46.0206,46.0206
0.133352,34.1707,54.1707,54.1798,74.1798,41.4691,,46.0206,46.0206
0.141254,33.6707,53.6707,53.6798,73.6798,42.1705,,46.0206,46.0206
0.149624,33.1707,53.1707,53.1798,73.1798,42.7994,,46.0206,46.0206
0.158489,32.6707,52.6707,52.6798,72.6798,43.3543,,46.0206,46.0206
0.167880,32.1707,52.1707,52.1798,72.1798,43.8346,,46.0206,46.0206
0.177828,31.6707,51.6707,51.6798,71.6798,44.2406,,46.0206,46.0206
0.188365,31.1707,51.1707,51.1798,71.1798,44.5735,,46.0206,46.0206
0.199526,30.6707,50.6707,50.6798,70.6798,44.8354,,46.0206,46.0206
0.211349,30.1707,50.1707,50.1798,70.1798,45.0293,,46.0206,46.0206
0.223872,29.6707,49.6707,49.6798,69.6798,45.1585,,46.0206,46.0206
0.237137,29.1707,49.1707,49.1798,69.1798,45.2270,,46.0206,46.0206
0.251189,28.6707,48.6707,48.6798,68.6798,45.2389,,46.0206,46.0206
0.266073,28.1707,48.1707,48.1798,68.1798,45.1987,,46.0206,46.0206
0.281838,27.6707,47.6707,47.6798,67.6798,45.1106,,46.0206,46.0206
0.298538,27.1707,47.1707,47.1798,67.1798,,,46.0206,46.0206
0.316228,26.6707,46.6707,46.6798,66.6798,44.8078,,46.0206,46.0206
0.334965,26.1707,46.1707,46.1798,66.1798,44.6010,,46.0206,46.0206
0.354813,25.6707,45.6707,45.6798,65.6798,44.3621,,46.0206,46.0206
0.375837,25.1707,45.1707,45.1798,65.1798,44.0946,,46.0206,46.0206
0.398107,24.6707,44.6707,44.6798,64.6798,43.8014,,46.0206,46.0206
0.421697,24.1707,44.1707,44.1798,64.1798,43.4853,17.7497,46.0206,46.0206
0.446684,23.6707,43.6707,43.6798,63.6798,43.1488,19.1656,46.0206,46.0206
0.473151,23.1707,43.1707,43.1798,63.1798,42.7942,20.5710,46.0206,46.0206
0.501187,22.6707,42.6707,42.6798,62.6798,42.4234,21.9645,46.0206,46.0206
0.530884,22.1707,42.1707,42.1798,62.1798,42.0383,23.3445,46.0206,46.0206
0.562341,21.6707,41.6707,41.6798,61.6798,41.6404,24.7095,46.0206,46.0206
0.595662,21.1707,41.1707,41.1798,61.1798,41.2311,26.0575,46.0206,46.0206
0.630957,20.6707,40.6707,40.6798,60.6798,40.8118,27.3863,46.0206,46.0206
0.668344,20.1707,40.1707,40.1798,60.1798,40.3836,28.6935,46.0206,46.0206
0.707946,19.6707,39.6707,39.6798,59.6798,39.9475,29.9766,46.0206,46.0206
0.749894,19.1707,39.1707,39.1798,59.1798,39.5042,31.2325,46.0206,46.0206
0.794328,18.6707,38.6707,38.6798,58.6798,39.0548,32.4580,46.0206,46.0206
0.841395,18.1707,38.1707,38.1798,58.1798,38.5997,33.6496,46.0206,46.0206
0.891251,17.6707,37.6707,37.6798,57.6798,38.1397,34.8034,46.0206,46.0206
0.944061,17.1707,37.1707,37.1798,57.1798,37.6753,35.9155,46.0206,46.0206
1.000000,16.6707,36.6707,36.6798,56.6798,37.2070,36.9815,46.0206,46.0206
1.059254,16.1707,36.1707,36.1798,56.1798,36.7353,37.9971,46.0206,46.0206
1.122018,15.6707,35.6707,35.6798,55.6798,36.2604,38.9578,46.0206,46.0206
1.188502,15.1707,35.1707,35.1798,55.1798,35.7827,39.8594,46.0206,46.0206
1.258925,14.6707,34.6707,34.6798,54.6798,35.3027,40.6977,46.0206,46.0206
1.333521,14.1707,34.1707,34.1798,54.1798,34.8204,41.4691,46.0206,46.0206
1.412538,13.6707,33.6707,33.6798,53.6798,34.3362,42.1705,46.0206,46.0206
1.496236,13.1707,33.1707,33.1798,53.1798,33.8503,42.7994,46.0206,46.0206
1.584893,12.6707,32.6707,32.6798,52.6798,33.3628,43.3543,46.0206,46.0206
1.678804,12.1707,32.1707,32.1798,52.1798,32.8740,43.8346,46.0206,46.0206
1.778279,11.6707,31.6707,31.6798,51.6798,32.3839,44.2406,46.0206,46.0206
1.883649,11.1707,31.1707,31.1798,51.1798,31.8928,44.5735,46.0206,46.0206
1.995262,10.6707,30.6707,30.6798,50.6798,31.4007,44.8354,46.0206,46.0206
2.113489,10.1707,30.1707,30.1798,50.1798,30.9077,45.0293,46.0206,46.0206
2.238721,9.6707,29.6707,29.6798,49.6798,30.4140,45.1585,46.0206,46.0206
2.371374,9.1707,29.1707,29.1798,49.1798,29.9196,45.2270,46.0206,46.0206
2.511886,8.6707,28.6707,28.6798,48.6798,29.4246,45.2389,,46.0206
2.660725,8.1707,28.1707,28.1798,48.1798,28.9290,45.1987,,46.0206
2.818383,7.6707,27.6707,27.6798,47.6798,28.4329,45.1106,,46.0206
2.985383,7.1707,27.1707,27.1798,47.1798,27.9365,,,46.0206
3.162278,6.6707,26.6707,26.6798,46.6798,27.4396,44.8078,,46.0206
3.349654,6.1707,26.1707,26.1798,46.1798,26.9424,44.6010,,46.0206
3.548134,5.6707,25.6707,25.6798,45.6798,26.4449,44.3621,,46.0206
3.758374,5.1707,25.1707,25.1798,45.1798,25.9471,44.0946,,46.0206
3.981072,4.6707,24.6707,24.6798,44.6798,25.4491,43.8014,,46.0206
4.216965,4.1707,24.1707,24.1798,44.1798,24.9509,43.4853,,46.0206
4.466836,3.6707,23.6707,23.6798,43.6798,24.4524,43.1488,,46.0206
4.731513,3.1707,23.1707,23.1798,43.1798,23.9538,42.7942,,46.0206
5.011872,2.6707,22.6707,22.6798,42.6798,23.4551,42.4234,,46.0206
5.308844,2.1707,22.1707,22.1798,42.1798,22.9562,42.0383,,46.0206
5.623413,1.6707,21.6707,21.6798,41.6798,22.4572,41.6404,,46.0206
5.956621,1.1707,21.1707,21.1798,41.1798,21.9581,41.2311,,46.0206
6.309573,0.6707,20.6707,20.6798,40.6798,21.4589,40.8118,,46.0206
6.683439,0.1707,20.1707,20.1798,40.1798,20.9596,40.3836,,46.0206
7.079458,-0.3293,19.6707,19.6798,39.6798,20.4602,39.9475,,46.0206
7.498942,-0.8293,19.1707,19.1798,39.1798,19.9607,39.5042,,46.0206
7.943282,-1.3293,18.6707,18.6798,38.6798,19.4612,39.0548,,
8.413951,-1.8293,18.1707,18.1798,38.1798,18.9617,38.5997,,
8.912509,-2.3293,17.6707,17.6798,37.6798,18.4621,38.1397,,
9.440609,-2.8293,17.1707,17.1798,37.1798,17.9624,37.6753,,
10.000000,-3.3293,16.6707,16.6798,36.6798,17.4627,37.2070,,
10.592537,-3.8293,16.1707,16.1798,36.1798,16.9630,36.7353,,
11.220185,-4.3293,15.6707,15.6798,35.6798,16.4633,36.2604,,
11.885022,-4.8293,15.1707,15.1798,35.1798,15.9635,35.7827,,
12.589254,-5.3293,14.6707,14.6798,34.6798,15.4637,35.3027,,
13.335214,-5.8293,14.1707,14.1798,34.1798,14.9639,34.8204,,
14.125375,-6.3293,13.6707,13.6798,33.6798,14.4640,34.3362,,
14.962357,-6.8293,13.1707,13.1798,33.1798,13.9642,33.8503,,
15.848932,-7.3293,12.6707,12.6798,32.6798,13.4643,33.3628,,
16.788040,-7.8293,12.1707,12.1798,32.1798,12.9644,32.8740,,
17.782794,-8.3293,11.6707,11.6798,31.6798,12.4645,32.3839,,
18.836491,-8.8293,11.1707,11.1798,31.1798,11.9646,31.8928,,
19.952623,-9.3293,10.6707,10.6798,30.6798,11.4647,31.4007,,
21.134890,-9.8293,10.1707,10.1798,30.1798,10.9647,30.9077,,
22.387211,-10.3293,9.6707,9.6798,29.6798,10.4648,30.4140,,
23.713737,-10.8293,9.1707,9.1798,29.1798,9.9649,29.9196,,
25.118864,-11.3293,8.6707,8.6798,28.6798,9.4649,29.4246,,
26.607251,-11.8293,8.1707,8.1798,28.1798,8.9649,28.9290,,
28.183829,-12.3293,7.6707,7.6798,27.6798,8.4650,28.4329,,
29.853826,-12.8293,7.1707,7.1798,27.1798,7.9650,27.9365,,
31.622777,-13.3293,6.6707,6.6798,26.6798,7.4651,27.4396,,
33.496544,-13.8293,6.1707,6.1798,26.1798,6.9651,26.9424,,
35.481339,-14.3293,5.6707,5.6798,25.6798,6.4651,26.4449,,
37.583740,-14.8293,5.1707,5.1798,25.1798,5.9651,25.9471,,
39.810717,-15.3293,4.6707,4.6798,24.6798,5.4651,25.4491,,
42.169650,-15.8293,4.1707,4.1798,24.1798,4.9652,24.9509,,
44.668359,-16.3293,3.6707,3.6798,23.6798,4.4652,24.4524,,
47.315126,-16.8293,3.1707,3.1798,23.1798,3.9652,23.9538,,
50.118723,-17.3293,2.6707,2.6798,22.6798,3.4652,23.4551,,
53.088444,-17.8293,2.1707,2.1798,22.1798,2.9652,22.9562,,
56.234133,-18.3293,1.6707,1.6798,21.6798,2.4652,22.4572,,
59.566214,-18.8293,1.1707,1.1798,21.1798,1.9652,21.9581,,
63.095734,-19.3293,0.6707,0.6798,20.6798,1.4652,21.4589,,
66.834392,-19.8293,0.1707,0.1798,20.1798,0.9653,20.9596,,
70.794578,-20.3293,-0.3293,-0.3202,19.6798,0.4653,20.4602,,
74.989421,-20.8293,-0.8293,-0.8202,19.1798,-0.0347,19.9607,,
79.432823,-21.3293,-1.3293,-1.3202,18.6798,-0.5347,19.4612,,
84.139514,-21.8293,-1.8293,-1.8202,18.1798,-1.0347,18.9617,,
89.125094,-22.3293,-2.3293,-2.3202,17.6798,-1.5347,18.4621,,
94.406088,-22.8293,-2.8293,-2.8202,17.1798,-2.0347,17.9624,,
100.000000,-23.3293,-3.3293,-3.3202,16.6798,-2.5347,17.4627,,
105.925373,-23.8293,-3.8293,-3.8202,16.1798,-3.0347,16.9630,,
112.201845,-24.3293,-4.3293,-4.3202,15.6798,-3.5347,16.4633,,
118.850223,-24.8293,-4.8293,-4.8202,15.1798,-4.0347,15.9635,,
125.892541,-25.3293,-5.3293,-5.3202,14.6798,-4.5347,15.4637,,
133.352143,-25.8293,-5.8293,-5.8202,14.1798,-5.0347,14.9639,,
141.253754,-26.3293,-6.3293,-6.3202,13.6798,-5.5347,14.4640,,
149.623566,-26.8293,-6.8293,-6.8202,13.1798,-6.0347,13.9642,,
158.489319,-27.3293,-7.3293,-7.3202,12.6798,-6.5347,13.4643,,
167.880402,-27.8293,-7.8293,-7.8202,12.1798,-7.0347,12.9644,,
177.827941,-28.3293,-8.3293,-8.3202,11.6798,-7.5347,12.4645,,
188.364909,-28.8293,-8.8293,-8.8202,11.1798,-8.0347,11.9646,,
199.526231,-29.3293,-9.3293,-9.3202,10.6798,-8.5347,11.4647,,
211.348904,-29.8293,-9.8293,-9.8202,10.1798,-9.0347,10.9647,,
223.872114,-30.3293,-10.3293,-10.3202,9.6798,-9.5347,10.4648,,
237.137371,-30.8293,-10.8293,-10.8202,9.1798,-10.0347,9.9649,,
251.188643,-31.3293,-11.3293,-11.3202,8.6798,-10.5347,9.4649,,
266.072506,-31.8293,-11.8293,-11.8202,8.1798,-11.0347,8.9649,,
281.838293,-32.3293,-12.3293,-12.3202,7.6798,-11.5347,8.4650,,
298.538262,-32.8293,-12.8293,-12.8202,7.1798,-12.0347,7.9650,,
316.227766,-33.3293,-13.3293,-13.3202,6.6798,-12.5347,7.4651,,
334.965439,-33.8293,-13.8293,-13.8202,6.1798,-13.0347,6.9651,,
354.813389,-34.3293,-14.3293,-14.3202,5.6798,-13.5347,6.4651,,
375.837404,-34.8293,-14.8293,-14.8202,5.1798,-14.0347,5.9651,,
398.107171,-35.3293,-15.3293,-15.3202,4.6798,-14.5347,5.4651,,
421.696503,-35.8293,-15.8293,-15.8202,4.1798,-15.0347,4.9652,,
446.683592,-36.3293,-16.3293,-16.3202,3.6798,-15.5347,4.4652,,
473.151259,-36.8293,-16.8293,-16.8202,3.1798,-16.0347,3.9652,,
501.187234,-37.3293,-17.3293,-17.3202,2.6798,-16.5347,3.4652,,
530.884444,-37.8293,-17.8293,-17.8202,2.1798,-17.0347,2.9652,,
562.341325,-38.3293,-18.3293,-18.3202,1.6798,-17.5347,2.4652,,
595.662144,-38.8293,-18.8293,-18.8202,1.1798,-18.0347,1.9652,,
630.957344,-39.3293,-19.3293,-19.3202,0.6798,-18.5347,1.4652,,
668.343918,-39.8293,-19.8293,-19.8202,0.1798,-19.0347,0.9653,,
707.945784,-40.3293,-20.3293,-20.3202,-0.3202,-19.5347,0.4653,,
749.894209,-40.8293,-20.8293,-20.8202,-0.8202,-20.0347,-0.0347,,
794.328235,-41.3293,-21.3293,-21.3202,-1.3202,-20.5347,-0.5347,,
841.395142,-41.8293,-21.8293,-21.8202,-1.8202,-21.0347,-1.0347,,
891.250938,-42.3293,-22.3293,-22.3202,-2.3202,-21.5347,-1.5347,,
944.060876,-42.8293,-22.8293,-22.8202,-2.8202,-22.0347,-2.0347,,
1000.000000,-43.3293,-23.3293,-23.3202,-3.3202,-22.5347,-2.5347,,
1059.253725,-43.8293,-23.8293,-23.8202,-3.8202,-23.0347,-3.0347,,
1122.018454,-44.3293,-24.3293,-24.3202,-4.3202,-23.5347,-3.5347,,
1188.502227,-44.8293,-24.8293,-24.8202,-4.8202,-24.0347,-4.0347,,
1258.925412,-45.3293,-25.3293,-25.3202,-5.3202,-24.5347,-4.5347,,
1333.521432,-45.8293,-25.8293,-25.8202,-5.8202,-25.0347,-5.0347,,
1412.537545,-46.3293,-26.3293,-26.3202,-6.3202,-25.5347,-5.5347,,
1496.235656,-46.8293,-26.8293,-26.8202,-6.8202,-26.0347,-6.0347,,
1584.893192,-47.3293,-27.3293,-27.3202,-7.3202,-26.5347,-6.5347,,
1678.804018,-47.8293,-27.8293,-27.8202,-7.8202,-27.0347,-7.0347,,
