delta_c_MHz,R_qutip,Pout_microW
-20.0000,0.0000,0.000000
-19.8000,0.0000,0.000000
-19.6000,0.0000,0.000000
-19.4000,0.0000,0.000000
-19.2000,0.0000,0.000000
-19.0000,0.0000,0.000000
-18.8000,0.0000,0.000000
-18.6000,0.0000,0.000000
-18.4000,0.0000,0.000000
-18.2000,0.0000,0.000000
-18.0000,0.0000,0.000000
-17.8000,0.0000,0.000000
-17.6000,0.0000,0.000000
-17.4000,0.0000,0.000000
-17.2000,0.0000,0.000000
-17.0000,0.0000,0.000000
-16.8000,0.0000,0.000000
-16.6000,0.0000,0.000000
-16.4000,0.0000,0.000000
-16.2000,0.0000,0.000000
-16.0000,0.0000,0.000000
-15.8000,0.0000,0.000000
-15.6000,0.0000,0.000001
-15.4000,0.0000,0.000001
-15.2000,0.0000,0.000001
-15.0000,0.0000,0.000001
-14.8000,0.0000,0.000001
-14.6000,0.0000,0.000001
-14.4000,0.0000,0.000001
-14.2000,0.0000,0.000001
-14.0000,0.0000,0.000001
-13.8000,0.0000,0.000001
-13.6000,0.0000,0.000001
-13.4000,0.0000,0.000001
-13.2000,0.0000,0.000001
-13.0000,0.0000,0.000001
-12.8000,0.0000,0.000001
-12.6000,0.0000,0.000001
-12.4000,0.0000,0.000001
-12.2000,0.0000,0.000001
-12.0000,0.0000,0.000001
-11.8000,0.0000,0.000001
-11.6000,0.0000,0.000001
-11.4000,0.0000,0.000001
-11.2000,0.0000,0.000001
-11.0000,0.0000,0.000001
-10.8000,0.0000,0.000001
-10.6000,0.0000,0.000001
-10.4000,0.0000,0.000001
-10.2000,0.0000,0.000001
-10.0000,0.0000,0.000001
-9.8000,0.0000,0.000001
-9.6000,0.0000,0.000001
-9.4000,0.0000,0.000001
-9.2000,0.0000,0.000001
-9.0000,0.0000,0.000001
-8.8000,0.0000,0.000001
-8.6000,0.0000,0.000001
-8.4000,0.0000,0.000001
-8.2000,0.0000,0.000002
-8.0000,0.0000,0.000002
-7.8000,0.0000,0.000002
-7.6000,0.0000,0.000002
-7.4000,0.0000,0.000002
-7.2000,0.0000,0.000003
-7.0000,0.0000,0.000003
-6.8000,0.0000,0.000003
-6.6000,0.0000,0.000004
-6.4000,0.0000,0.000004
-6.2000,0.0000,0.000005
-6.0000,0.0000,0.000006
-5.8000,0.0000,0.000007
-5.6000,0.0000,0.000008
-5.4000,0.0000,0.000010
-5.2000,0.0000,0.000012
-5.0000,0.0000,0.000016
-4.8000,0.0000,0.000020
-4.6000,0.0000,0.000026
-4.4000,0.0000,0.000036
-4.2000,0.0000,0.000050
-4.0000,0.0000,0.000071
-3.8000,0.0000,0.000104
-3.6000,0.0000,0.000158
-3.4000,0.0000,0.000248
-3.2000,0.0000,0.000404
-3.0000,0.0000,0.000683
-2.8000,0.0000,0.001202
-2.6000,0.0000,0.002199
-2.4000,0.0000,0.004174
-2.2000,0.0000,0.008198
