panel,x,y,series
a,0.0100,7.402159,EIT_real_qutip
a,0.0100,1.163047,tangent_analytic
a,0.0100,9.203908,tangent_numeric
a,0.0600,7.701757,EIT_real_qutip
a,0.0600,1.151245,tangent_analytic
a,0.0600,9.037832,tangent_numeric
a,0.1099,7.690467,EIT_real_qutip
a,0.1099,1.139443,tangent_analytic
a,0.1099,8.871755,tangent_numeric
a,0.1599,7.663606,EIT_real_qutip
a,0.1599,1.127640,tangent_analytic
a,0.1599,8.705679,tangent_numeric
a,0.2098,7.625513,EIT_real_qutip
a,0.2098,1.115838,tangent_analytic
a,0.2098,8.539602,tangent_numeric
a,0.2597,7.576999,EIT_real_qutip
a,0.2597,1.104036,tangent_analytic
a,0.2597,8.373526,tangent_numeric
a,0.3097,7.518452,EIT_real_qutip
a,0.3097,1.092234,tangent_analytic
a,0.3097,8.207449,tangent_numeric
a,0.3597,7.450197,EIT_real_qutip
a,0.3597,1.080432,tangent_analytic
a,0.3597,8.041373,tangent_numeric
a,0.4096,7.372563,EIT_real_qutip
a,0.4096,1.068630,tangent_analytic
a,0.4096,7.875296,tangent_numeric
a,0.4596,7.285903,EIT_real_qutip
a,0.4596,1.056828,tangent_analytic
a,0.4596,7.709219,tangent_numeric
a,0.5095,7.190602,EIT_real_qutip
a,0.5095,1.045025,tangent_analytic
a,0.5095,7.543143,tangent_numeric
a,0.5595,7.087073,EIT_real_qutip
a,0.5595,1.033223,tangent_analytic
a,0.5595,7.377066,tangent_numeric
a,0.6094,6.975758,EIT_real_qutip
a,0.6094,1.021421,tangent_analytic
a,0.6094,7.210990,tangent_numeric
a,0.6593,6.857122,EIT_real_qutip
a,0.6593,1.009619,tangent_analytic
a,0.6593,7.044913,tangent_numeric
a,0.7093,6.731655,EIT_real_qutip
a,0.7093,0.997817,tangent_analytic
a,0.7093,6.878837,tangent_numeric
a,0.7592,6.599864,EIT_real_qutip
a,0.7592,0.986015,tangent_analytic
a,0.7592,6.712760,tangent_numeric
a,0.8092,6.462271,EIT_real_qutip
a,0.8092,0.974213,tangent_analytic
a,0.8092,6.546684,tangent_numeric
a,0.8592,6.319410,EIT_real_qutip
a,0.8592,0.962410,tangent_analytic
a,0.8592,6.380607,tangent_numeric
a,0.9091,6.171824,EIT_real_qutip
a,0.9091,0.950608,tangent_analytic
a,0.9091,6.214531,tangent_numeric
a,0.9591,6.020057,EIT_real_qutip
a,0.9591,0.938806,tangent_analytic
a,0.9591,6.048454,tangent_numeric
a,1.0090,5.864658,EIT_real_qutip
a,1.0090,0.927004,tangent_analytic
a,1.0090,5.882378,tangent_numeric
a,1.0590,5.706170,EIT_real_qutip
a,1.0590,0.915202,tangent_analytic
a,1.0590,5.716301,tangent_numeric
a,1.1089,5.545134,EIT_real_qutip
a,1.1089,0.903400,tangent_analytic
a,1.1089,5.550224,tangent_numeric
a,1.1588,5.382080,EIT_real_qutip
a,1.1588,0.891597,tangent_analytic
a,1.1588,5.384148,tangent_numeric
a,1.2088,5.217525,EIT_real_qutip
a,1.2088,0.879795,tangent_analytic
a,1.2088,5.218071,tangent_numeric
a,1.2588,5.051976,EIT_real_qutip
a,1.2588,0.867993,tangent_analytic
a,1.2588,5.051995,tangent_numeric
